what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1599927957430
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1599927957435
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1599927957445
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1599927957445
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1599927957469
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1599927957470
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1599927957471
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1599927957474
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1599927957478
os,sysinfo,,,"win32",1599927957497
arch,sysinfo,,,"x86",1599927957497
ws,sysinfo,,,"win32",1599927957497
locale,sysinfo,,,"en_US",1599927957497
processors,sysinfo,,,"2",1599927957497
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1599927957497
java.runtime.version,sysinfo,,,"1.8.0_241-b07",1599927957497
java.specification.name,sysinfo,,,"Java Platform API Specification",1599927957497
java.specification.vendor,sysinfo,,,"Oracle Corporation",1599927957497
java.specification.version,sysinfo,,,"1.8",1599927957497
java.vendor,sysinfo,,,"Oracle Corporation",1599927957497
java.version,sysinfo,,,"1.8.0_241",1599927957497
java.vm.info,sysinfo,,,"mixed mode",1599927957497
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1599927957497
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1599927957497
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1599927957497
java.vm.specification.version,sysinfo,,,"1.8",1599927957497
java.vm.vendor,sysinfo,,,"Oracle Corporation",1599927957497
java.vm.version,sysinfo,,,"25.241-b07",1599927957497
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1599927957512
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1599927957627
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1599927957757
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1599927958760
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1599927958922
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1599927958972
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1599927959229
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1599927959508
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1599927960075
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1599927960125
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1599927961225
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1599927961250
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1599927961574
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1599927962199
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1599927962314
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599927962871
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599927970036
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1599927974605
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1599927975362
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1599927975557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599927987526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599927987979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599927990863
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928006351
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928016720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928017687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928017982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928040245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928083474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928083726
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1599928083751
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928089529
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928090006
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1599928095295
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928103875
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928285449
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599928292815
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599928294339
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599928294409
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599928300443
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928302807
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928955089
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1599928961309
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1599928969381
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599928975502
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599928999675
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929000137
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1599929005956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929054334
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929084517
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929124629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929137930
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929140611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929195437
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599929199442
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1599929212483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929215160
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929236535
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599929249835
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599929249900
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599929253152
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1599929253167
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929263097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929263596
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1599929268466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929281259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929334335
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929334937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929335690
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929336180
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929345174
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929347573
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1599929520920
